name,pick,Size,Explosiveness,Strength,archetype,predicted_career,imputed,dark_horse_flag
AJ Dybantsa,1,0.2,1.17,-0.65,Traditional Big,10.3,5,False
Darryn Peterson,3,-1.23,0.62,-0.06,Athletic Wing,10.2,2,False
Cameron Boozer,5,1.66,0.82,-0.18,Traditional Big,9.7,5,False
Caleb Wilson,9,0.59,0.86,-0.69,Traditional Big,9.1,5,False
Baba Miller,17,1.72,0.57,-0.77,Traditional Big,7.9,7,False
Aday Mara,22,3.14,1.27,-1.61,Undersized Athlete,6.9,7,False
Luigi Suigo,28,3.88,2.01,-0.82,Undersized Athlete,6.2,6,False
